refDate,geo,valNormP_TotNPOs,valNormP_BusNPOs,valNormP_CommNPOs,valNormP_GovNPOs,valNorm_TotNPOs,valNorm_BusNPOs,valNorm_CommNPOs,valNorm_GovNPOs
2011-01-01,NU,1,NA,1,NA,1000,0,1000,0
2011-01-01,ON,1.0322128851540617,1.0289855072463767,1.0833333333333333,1.0132743362831858,737000,71000,208000,458000
2011-01-01,PE,1.2,1,1,1.125,12000,1000,2000,9000
2011-01-01,QC,1.0478821362799264,1.2352941176470589,1.078125,1.020997375328084,569000,42000,138000,389000
2011-01-01,SK,1.1216216216216217,1,1.1428571428571428,1.105263157894737,83000,4000,16000,63000
2011-01-01,YT,2,NA,1,NA,2000,0,1000,0
2012-01-01,AB,1.1096491228070176,1.3333333333333333,1.1458333333333333,1.0787878787878789,253000,20000,55000,178000
2012-01-01,BC,1.1046511627906976,1.3,1.123076923076923,1.0632183908045978,285000,26000,73000,185000
2012-01-01,CA,1.0680173661360348,1.1548387096774193,1.1091269841269842,1.0445544554455446,2214000,179000,559000,1477000
2012-01-01,MB,1.09375,1,1.173913043478261,1.0579710144927537,105000,5000,27000,73000
2012-01-01,NB,1.048780487804878,1,1.1111111111111112,1.0344827586206897,43000,3000,10000,30000
2012-01-01,NL,1.105263157894737,1,1.2,1.096774193548387,42000,2000,6000,34000
2012-01-01,NS,1.0606060606060606,1.3333333333333333,1,1.0851063829787233,70000,4000,15000,51000
2012-01-01,NT,1,NA,1,1,3000,0,1000,2000
2012-01-01,NU,1,NA,1,NA,1000,0,1000,0
2012-01-01,ON,1.035014005602241,1.0289855072463767,1.1041666666666667,1.008849557522124,739000,71000,212000,456000
2012-01-01,PE,1.1,1,1,1.125,11000,1000,2000,9000
2012-01-01,QC,1.0644567219152854,1.2647058823529411,1.09375,1.0341207349081365,578000,43000,140000,394000
2012-01-01,SK,1.1081081081081081,1,1.1428571428571428,1.087719298245614,82000,4000,16000,62000
2012-01-01,YT,2,NA,1,NA,2000,0,1000,0
2013-01-01,AB,1.1271929824561404,1.3333333333333333,1.1666666666666667,1.096969696969697,257000,20000,56000,181000
2013-01-01,BC,1.1317829457364341,1.3,1.1692307692307693,1.0862068965517242,292000,26000,76000,189000
2013-01-01,CA,1.0882778581765558,1.1806451612903226,1.132936507936508,1.0622347949080622,2256000,183000,571000,1502000
2013-01-01,MB,1.125,1,1.2173913043478262,1.0869565217391304,108000,5000,28000,75000
2013-01-01,NB,1.1951219512195121,1,1.1111111111111112,1.2413793103448276,49000,3000,10000,36000
2013-01-01,NL,1.0526315789473684,1,1.2,1.032258064516129,40000,2000,6000,32000
2013-01-01,NS,1.0909090909090908,1.3333333333333333,1.0666666666666667,1.1063829787234043,72000,4000,16000,52000
2013-01-01,NT,1.3333333333333333,NA,1,1,4000,0,1000,2000
2013-01-01,NU,1,NA,1,NA,1000,0,1000,0
2013-01-01,ON,1.046218487394958,1.0579710144927537,1.1197916666666667,1.0176991150442478,747000,73000,215000,460000
2013-01-01,PE,1.1,1,1,1.125,11000,1000,2000,9000
2013-01-01,QC,1.0847145488029466,1.3235294117647058,1.1015625,1.057742782152231,589000,45000,141000,403000
2013-01-01,SK,1.1216216216216217,1,1.2142857142857142,1.105263157894737,83000,4000,17000,63000
2013-01-01,YT,2,NA,1,NA,2000,0,1000,0
2014-01-01,AB,1.144736842105263,1.3333333333333333,1.2083333333333333,1.1090909090909091,261000,20000,58000,183000
2014-01-01,BC,1.1434108527131783,1.35,1.1846153846153846,1.0977011494252873,295000,27000,77000,191000
2014-01-01,CA,1.1027496382054993,1.1870967741935483,1.1488095238095237,1.077086280056577,2286000,184000,579000,1523000
2014-01-01,MB,1.15625,1.2,1.2173913043478262,1.1159420289855073,111000,6000,28000,77000
2014-01-01,NB,1.1951219512195121,1,1.1111111111111112,1.2413793103448276,49000,3000,10000,36000
2014-01-01,NL,1.0526315789473684,1,1.2,1.064516129032258,40000,2000,6000,33000
2014-01-01,NS,1.1363636363636365,1.3333333333333333,1.0666666666666667,1.1702127659574468,75000,4000,16000,55000
2014-01-01,NT,1.3333333333333333,NA,1,1,4000,0,1000,2000
2014-01-01,NU,1,NA,1,NA,1000,0,1000,0
2014-01-01,ON,1.0658263305322129,1.0724637681159421,1.1458333333333333,1.0331858407079646,761000,74000,220000,467000
2014-01-01,PE,1.1,1,1,1.125,11000,1000,2000,9000
2014-01-01,QC,1.0883977900552486,1.2941176470588236,1.109375,1.0656167979002624,591000,44000,142000,406000
2014-01-01,SK,1.1486486486486487,1,1.2142857142857142,1.1228070175438596,85000,4000,17000,64000
2014-01-01,YT,2,NA,1,NA,2000,0,1000,0
2015-01-01,AB,1.1710526315789473,1.4,1.25,1.1333333333333333,267000,21000,60000,187000
2015-01-01,BC,1.1744186046511629,1.5,1.2307692307692308,1.1091954022988506,303000,30000,80000,193000
2015-01-01,CA,1.1234925229136516,1.2580645161290323,1.1785714285714286,1.0891089108910892,2329000,195000,594000,1540000
2015-01-01,MB,1.1666666666666667,1.2,1.2608695652173914,1.1304347826086956,112000,6000,29000,78000
2015-01-01,NB,1.1951219512195121,1,1.1111111111111112,1.2413793103448276,49000,3000,10000,36000
2015-01-01,NL,1.0789473684210527,1,1.2,1.064516129032258,41000,2000,6000,33000
2015-01-01,NS,1.1515151515151516,1.3333333333333333,1.0666666666666667,1.1914893617021276,76000,4000,16000,56000
2015-01-01,NT,1.3333333333333333,NA,1,1,4000,0,1000,2000
2015-01-01,NU,1,NA,1,NA,1000,0,1000,0
2015-01-01,ON,1.0910364145658262,1.144927536231884,1.1822916666666667,1.0464601769911503,779000,79000,227000,473000
2015-01-01,PE,1.2,1,1,1.125,12000,1000,2000,9000
2015-01-01,QC,1.0920810313075506,1.3529411764705883,1.1171875,1.0603674540682415,593000,46000,143000,404000
2015-01-01,SK,1.2027027027027026,1,1.2857142857142858,1.1754385964912282,89000,4000,18000,67000
2015-01-01,YT,2,NA,1,NA,2000,0,1000,0
2016-01-01,AB,1.1929824561403508,1.4,1.25,1.1575757575757575,272000,21000,60000,191000
2016-01-01,BC,1.2131782945736433,1.55,1.2923076923076924,1.1379310344827587,313000,31000,84000,198000
2016-01-01,CA,1.1447178002894356,1.2903225806451613,1.2142857142857142,1.103960396039604,2373000,200000,612000,1561000
2016-01-01,MB,1.1875,1.2,1.3043478260869565,1.1304347826086956,114000,6000,30000,78000
2016-01-01,NB,1.2439024390243902,1,1.1111111111111112,1.3103448275862069,51000,3000,10000,38000
