Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Immigration status,Non-Canadian,2013,gs1datot,450.47448965601467,18.544092083836613,286.7461460730647,614.2028332389646,382,Total amount of donations,Average total amount of donations,CA,NA,*
Immigration status,Unknown,2013,gs1datot,526.2910557545637,12.325345342445809,399.15369932506974,653.4284121840576,777,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Native-born,2013,gs1datot,506.8994721093886,3.9245414037350197,467.90896845204395,545.8899757667333,10134,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Naturalized,2013,gs1datot,650.4976506196189,7.586191740373717,553.7773497869458,747.2179514522919,1594,Total amount of donations,Average total amount of donations,CA,NA,
Immigration status (dcit2),Non-Canadian,2013,gs1datot,500.6802576668182,19.66830584214264,307.67216853740894,693.6883467962275,197,Total amount of donations,Average total amount of donations,CA,NA,*
Immigration status (dcit2),Unknown,2013,gs1datot,495.45765668403766,14.096300670624965,358.57141812265735,632.343895245418,688,Total amount of donations,Average total amount of donations,CA,NA,
Age group,15 to 24 years,2013,gs1datot,262.2732676732797,16.953016473129583,175.12693770136661,349.41959764519277,556,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Age group,25 to 34 years,2013,gs1datot,427.7107352594206,14.531798657872539,305.8910105100127,549.5304600088285,1189,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,35 to 44 years,2013,gs1datot,512.1229428248977,8.128198004871054,430.5367630481313,593.709122601664,1592,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,45 to 54 years,2013,gs1datot,729.3545889919542,7.715356394026969,619.0628960677711,839.6462819161372,1901,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,55 to 64 years,2013,gs1datot,784.6124255501472,6.188777221550591,689.4406608487824,879.7841902515121,2249,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,65 to 74 years,2013,gs1datot,839.133410813862,6.427889724549404,733.4157556699081,944.851065957816,1748,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,75 years and over,2013,gs1datot,817.4113012735244,11.673017908438867,630.3982652818995,1004.4243372651492,1198,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Sex,Male,2013,gs1datot,683.3151945734313,5.893941071728267,604.3792230585309,762.2511660883317,4406,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Sex,Female,2013,gs1datot,544.4811083237717,4.180181974417632,499.871737803737,589.0904788438063,6027,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Less than High School,2013,gs1datot,377.5105426980478,13.347156437254467,278.7539889122121,476.2670964838835,1169,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Graduated from High school,2013,gs1datot,471.35846527667576,9.420989630188265,384.3230656178856,558.3938649354659,2630,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Post-secondary diploma,2013,gs1datot,528.6513176407589,5.187538011065357,474.901288753022,582.4013465284957,3231,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,University Diploma,2013,gs1datot,941.5621791731161,5.637483174248331,837.5264884135738,1045.5978699326583,2801,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Not stated,2013,gs1datot,634.2382750968626,14.187269881486609,457.87856807924595,810.5979821144792,602,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,Married/common-law,2013,gs1datot,685.3611252543122,3.7411181114932477,635.1073170921935,735.614933416431,6286,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,Widowed,2013,gs1datot,920.3375766334561,16.087302347739662,630.1502313891524,1210.5249218777599,1069,Total amount of donations,Average total amount of donations,CA (without QC),NA,
