,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
27,28,Sollicitation par une connaissance,Report motivation,2013,gs1datot,650.438105343779,5.57821648181744,579.325034718388,721.55117596917,4610,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA (without QC),
28,29,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,629.899412249545,15.9518898503131,432.960544710707,826.838279788383,247,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
29,30,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,985.456434518098,12.0112608439443,753.463841522102,1217.44902751409,605,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
30,31,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,283.987915234374,8.16813506686395,238.523578347352,329.452252121396,907,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
31,32,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,426.370725622342,4.5219219003755,388.582323617191,464.159127627493,2425,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
32,33,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,550.938313179209,13.9648001498811,400.143712722474,701.732913635944,451,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
33,34,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,744.867564699038,11.1016995318367,582.792343395715,906.942786002361,955,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
34,35,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,471.593141741631,11.2850337791388,367.284945586969,575.901337896292,691,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
35,36,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,574.137761886089,5.85424433240477,508.260574741699,640.01494903048,1829,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
36,37,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,464.485582675301,13.581965204924,340.838765123477,588.132400227125,479,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
37,38,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,776.566605417913,9.90816575528016,625.760103902368,927.373106933457,1344,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
38,39,Touché.e personnellement par la cause,Do not report motivation,2013,gs1datot,217.328565479819,17.5126452375078,142.732374109927,291.924756849711,700,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,*
39,40,Touché.e personnellement par la cause,Report motivation,2013,gs1datot,300.527690358858,12.5356421382243,226.689818624282,374.365562093434,1376,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
40,41,Crédit d'impôt,Do not report motivation,2013,gs1datot,635.282640703679,10.3307556003211,506.651190294767,763.914091112591,585,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
41,42,Crédit d'impôt,Report motivation,2013,gs1datot,1479.35079543644,17.1712383106852,981.475157136839,1977.22643373604,264,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,*
42,43,Crédit d'impôt,Do not report motivation,2013,gs1datot,331.635338257967,5.11155215593575,298.410590747881,364.860085768054,2508,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
43,44,Crédit d'impôt,Report motivation,2013,gs1datot,583.647501560483,6.69318929991377,507.082229528803,660.212773592164,831,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
44,45,Crédit d'impôt,Do not report motivation,2013,gs1datot,503.256915029279,12.652320200147,378.458802681002,628.055027377556,982,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
45,46,Crédit d'impôt,Report motivation,2013,gs1datot,1174.48981446186,11.4881215117338,910.038112537737,1438.94151638598,414,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
46,47,Crédit d'impôt,Do not report motivation,2013,gs1datot,430.725569364267,5.38696909936936,385.248420516423,476.202718212112,1737,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
47,48,Crédit d'impôt,Report motivation,2013,gs1datot,830.752558384034,10.1116764289815,666.109682957711,995.395433810357,781,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
48,49,Crédit d'impôt,Do not report motivation,2013,gs1datot,520.16618982464,10.2704371796043,415.458364050122,624.874015599157,1157,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
49,50,Crédit d'impôt,Report motivation,2013,gs1datot,1035.74034881856,14.0055964897292,751.424809963098,1320.05588767402,661,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
50,51,Crédit d'impôt,Do not report motivation,2013,gs1datot,227.42386832749,12.7766733191984,170.472793612151,284.374943042829,1634,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
51,52,Crédit d'impôt,Report motivation,2013,gs1datot,445.098532567662,15.7374948473711,307.808232443523,582.388832691802,436,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
52,53,Raisons religieuses,Do not report motivation,2013,gs1datot,599.927762954458,11.4516336891786,465.275238837726,734.580287071191,579,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
53,54,Raisons religieuses,Report motivation,2013,gs1datot,1454.18723921906,15.8917213961158,1001.24860834189,1907.12587009623,271,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
54,55,Raisons religieuses,Do not report motivation,2013,gs1datot,247.714951132165,5.49799434441408,221.021507792575,274.408394471755,2200,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
55,56,Raisons religieuses,Report motivation,2013,gs1datot,717.640840957931,5.39068069681498,641.818210721636,793.463471194226,1128,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
56,57,Raisons religieuses,Do not report motivation,2013,gs1datot,484.261862160668,13.5668804372411,355.493741777287,613.02998254405,1008,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
57,58,Raisons religieuses,Report motivation,2013,gs1datot,1135.77841089412,11.3687773011897,882.699789746321,1388.85703204192,397,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
58,59,Raisons religieuses,Do not report motivation,2013,gs1datot,360.988090389723,8.0433626628757,304.079396811061,417.896783968385,1680,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
59,60,Raisons religieuses,Report motivation,2013,gs1datot,902.752983557906,6.65318136243311,785.034031939283,1020.47193517653,847,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
60,61,Raisons religieuses,Do not report motivation,2013,gs1datot,418.948648244859,11.1404365066861,327.471821203367,510.425475286351,1176,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
61,62,Raisons religieuses,Report motivation,2013,gs1datot,1216.14722811833,12.1842212502552,925.723549574189,1506.57090666248,647,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
62,63,Raisons religieuses,Do not report motivation,2013,gs1datot,205.251253487623,6.67239549090991,178.409202975484,232.093303999761,1627,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
63,64,Raisons religieuses,Report motivation,2013,gs1datot,524.328128273338,22.9242301917537,288.744010578763,759.912245967913,446,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,*
64,65,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,545.406057309455,33.7928146622407,184.168901366631,906.643213252279,66,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,...
65,66,Croyance personnelle en la cause,Report motivation,2013,gs1datot,901.023483192863,10.2358888527434,720.260390755734,1081.78657562999,785,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
66,67,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,139.961028972828,12.0575005686746,106.885065108524,173.036992837133,359,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
67,68,Croyance personnelle en la cause,Report motivation,2013,gs1datot,418.795790519415,4.08156846521699,385.293269785194,452.298311253636,2975,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
68,69,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,148.421149745668,14.7019519280887,105.653155702056,191.189143789281,127,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
69,70,Croyance personnelle en la cause,Report motivation,2013,gs1datot,731.239012077287,8.82314921492895,604.785449793298,857.692574361277,1279,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,
70,71,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,217.543685461101,17.4288573683054,143.230908841473,291.856462080729,217,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,*
71,72,Croyance personnelle en la cause,Report motivation,2013,gs1datot,582.665811082378,5.39183322849379,521.090859683846,644.24076248091,2306,Total donation amount,Average Amount Donated by Donors Reporting Motivations,ON,
72,73,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,212.663476861688,16.1912821002159,145.17614779289,280.150805930486,181,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
73,74,Croyance personnelle en la cause,Report motivation,2013,gs1datot,748.829663088445,8.78711426482645,619.863017361157,877.796308815733,1645,Total donation amount,Average Amount Donated by Donors Reporting Motivations,PR,
74,75,Croyance personnelle en la cause,Do not report motivation,2013,gs1datot,115.343217519313,14.7716824915138,81.9490887753405,148.737346263285,306,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
75,76,Croyance personnelle en la cause,Report motivation,2013,gs1datot,305.35948400162,10.5102802996671,242.456130013983,368.262837989257,1765,Total donation amount,Average Amount Donated by Donors Reporting Motivations,QC,
76,77,Compassion envers les personnes dans le besoin,Do not report motivation,2013,gs1datot,387.718095949074,34.6487867008867,124.417286762513,651.018905135635,63,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,...
77,78,Compassion envers les personnes dans le besoin,Report motivation,2013,gs1datot,918.3673413048,10.1588847728798,735.510776608797,1101.2239060008,786,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AB,
78,79,Compassion envers les personnes dans le besoin,Do not report motivation,2013,gs1datot,210.096498909909,13.5743675182955,154.199755070566,265.993242749251,231,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
79,80,Compassion envers les personnes dans le besoin,Report motivation,2013,gs1datot,398.425155294544,4.06234437914625,366.702350492861,430.147960096227,3107,Total donation amount,Average Amount Donated by Donors Reporting Motivations,AT,
80,81,Compassion envers les personnes dans le besoin,Do not report motivation,2013,gs1datot,164.338476069315,20.9176069946985,96.9633880572154,231.713564081414,119,Total donation amount,Average Amount Donated by Donors Reporting Motivations,BC,*
