,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
24,24,25,Bénévoles dans la famille,Do not report motivation,2013,vd1dhrs,167.067678040004,4.18731529419023,153.356455140506,180.778900939502,4769,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
25,25,26,Bénévoles dans la famille,Report motivation,2013,vd1dhrs,134.764089357591,5.54368012678813,120.121413947195,149.406764767987,1512,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
26,26,27,Bénévoles parmi les amis,Do not report motivation,2013,vd1dhrs,168.419324684131,4.83384851555795,152.462993239586,184.375656128675,3876,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
27,27,28,Bénévoles parmi les amis,Report motivation,2013,vd1dhrs,144.216641774209,4.96474080855883,130.183334009152,158.249949539265,2397,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
28,28,29,Réseauter ou rencontrer des gens,Do not report motivation,2013,vd1dhrs,147.602730613044,5.91236068880587,130.498505505045,164.706955721043,3248,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
29,29,30,Réseauter ou rencontrer des gens,Report motivation,2013,vd1dhrs,170.543932614019,4.30211452589468,156.16368607516,184.924179152877,3027,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
30,30,31,Améliorer ses possibilités d'emploi,Do not report motivation,2013,vd1dhrs,155.96505781694,4.00537469892744,143.721192273641,168.208923360239,5262,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
31,31,32,Améliorer ses possibilités d'emploi,Report motivation,2013,vd1dhrs,167.916851061908,7.8357685198891,142.128476458058,193.705225665757,1015,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
32,32,33,Raisons religieuses,Do not report motivation,2013,vd1dhrs,148.653245387262,4.23401259443829,136.317237690258,160.989253084267,4860,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
33,33,34,Raisons religieuses,Report motivation,2013,vd1dhrs,200.04390484204,6.66819220101358,173.899333623391,226.18847606069,1397,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,CA (without QC),
