Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
All,NA,2018,gs1dntot,4.718397517189258,2.794971110341061,4.459921685776672,4.976873348601844,897,Total number of donations,Average total number of donations,10,NL,NA
All,NA,2018,gs1dntot,4.440257203493555,3.197364791065857,4.161998724556113,4.718515682430997,598,Total number of donations,Average total number of donations,11,PE,NA
All,NA,2018,gs1dntot,4.147489307144716,2.8277824618082885,3.917620859652686,4.377357754636747,880,Total number of donations,Average total number of donations,12,NS,NA
All,NA,2018,gs1dntot,3.863597792759603,2.8129699082434163,3.650585294145843,4.076610291373362,837,Total number of donations,Average total number of donations,13,NB,NA
All,NA,2018,gs1dntot,3.4689991591463354,2.4150638784233536,3.304796227023898,3.633202091268773,1509,Total number of donations,Average total number of donations,24,QC,NA
All,NA,2018,gs1dntot,3.72049960259799,1.5827394858000323,3.605085523490218,3.8359136817057617,3289,Total number of donations,Average total number of donations,35,ON,NA
All,NA,2018,gs1dntot,3.717169364543083,3.2671307977693957,3.4791419596089743,3.955196769477192,850,Total number of donations,Average total number of donations,46,MB,NA
All,NA,2018,gs1dntot,4.168089757098562,3.3987012505493,3.890439458432594,4.44574005576453,749,Total number of donations,Average total number of donations,47,SK,NA
All,NA,2018,gs1dntot,3.5043867858208833,2.949239501701021,3.3018190997336014,3.706954471908165,1013,Total number of donations,Average total number of donations,48,AB,NA
All,NA,2018,gs1dntot,3.468554306149929,2.4908363368553896,3.2992212361405597,3.6378873761592985,1532,Total number of donations,Average total number of donations,59,BC,NA
Age group,15 to 24 years,2018,gs1dntot,3.376950980812895,11.99319352548516,2.583157205104096,4.170744756521693,31,Total number of donations,Average total number of donations,10,NL,NA
Age group,25 to 34 years,2018,gs1dntot,3.750211191934314,9.787558387306282,3.030798355843496,4.469624028025132,78,Total number of donations,Average total number of donations,10,NL,NA
Age group,35 to 44 years,2018,gs1dntot,5.035117131056318,6.542867520204869,4.389424551017597,5.68080971109504,151,Total number of donations,Average total number of donations,10,NL,NA
Age group,45 to 54 years,2018,gs1dntot,4.645173276784616,6.096536061976352,4.090121934808186,5.200224618761046,196,Total number of donations,Average total number of donations,10,NL,NA
Age group,55 to 64 years,2018,gs1dntot,5.377323558716339,5.887777133595407,4.756789500681303,5.997857616751374,200,Total number of donations,Average total number of donations,10,NL,NA
Age group,65 to 74 years,2018,gs1dntot,5.114709161438025,6.73502847463629,4.439546415841229,5.789871907034821,167,Total number of donations,Average total number of donations,10,NL,NA
Age group,75 years and over,2018,gs1dntot,4.807883275653793,9.043431559088488,3.9556955734803054,5.66007097782728,74,Total number of donations,Average total number of donations,10,NL,NA
Age group,15 to 24 years,2018,gs1dntot,2.7355244548957387,14.942504730618694,1.9343776691095889,3.5366712406818888,26,Total number of donations,Average total number of donations,11,PE,NA
Age group,25 to 34 years,2018,gs1dntot,3.600810016748063,11.433560185402976,2.7938913147042896,4.407728718791837,57,Total number of donations,Average total number of donations,11,PE,NA
Age group,35 to 44 years,2018,gs1dntot,4.111274362665181,9.376968321931276,3.355682973644396,4.866865751685967,73,Total number of donations,Average total number of donations,11,PE,NA
Age group,45 to 54 years,2018,gs1dntot,4.152904304014593,9.196002601734486,3.404391730185866,4.901416877843321,80,Total number of donations,Average total number of donations,11,PE,NA
Age group,55 to 64 years,2018,gs1dntot,5.08821845716194,6.421583159546665,4.447811633054381,5.728625281269498,145,Total number of donations,Average total number of donations,11,PE,NA
Age group,65 to 74 years,2018,gs1dntot,5.657551019143742,6.934770767019762,4.888582288742836,6.426519749544648,129,Total number of donations,Average total number of donations,11,PE,NA
Age group,75 years and over,2018,gs1dntot,5.600465685684685,6.833855455838882,4.850333119365356,6.350598252004014,88,Total number of donations,Average total number of donations,11,PE,NA
Age group,15 to 24 years,2018,gs1dntot,2.3851728622428303,17.16639618135569,1.5826690913490515,3.187676633136609,23,Total number of donations,Average total number of donations,12,NS,*
Age group,25 to 34 years,2018,gs1dntot,3.205870351059418,8.97499133435434,2.6419366047162516,3.769804097402584,59,Total number of donations,Average total number of donations,12,NS,NA
Age group,35 to 44 years,2018,gs1dntot,3.843826769569906,7.234925359280956,3.2987647098690553,4.388888829270757,115,Total number of donations,Average total number of donations,12,NS,NA
Age group,45 to 54 years,2018,gs1dntot,4.152789061398124,7.528279876336614,3.5400384979371697,4.765539624859079,137,Total number of donations,Average total number of donations,12,NS,NA
Age group,55 to 64 years,2018,gs1dntot,4.740230594031012,5.572769617335561,4.222482332493459,5.257978855568566,219,Total number of donations,Average total number of donations,12,NS,NA
Age group,65 to 74 years,2018,gs1dntot,5.093986600308595,5.48595128727897,4.546267562951421,5.641705637665769,218,Total number of donations,Average total number of donations,12,NS,NA
Age group,75 years and over,2018,gs1dntot,4.953506813642682,6.834327658136491,4.2899827892999625,5.617030837985402,109,Total number of donations,Average total number of donations,12,NS,NA
Age group,15 to 24 years,2018,gs1dntot,1.5773387444421298,9.882736136111696,1.27181127555592,1.88286621332834,27,Total number of donations,Average total number of donations,13,NB,NA
