Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Immigration status (dcit2),Non-Canadian,2013,gs1datot,500.6802577,19.66830584,307.6721685,693.6883468,197,Total amount of donations,Average total amount of donations,CA,NA,*
Immigration status (dcit2),Unknown,2013,gs1datot,495.4576567,14.09630067,358.5714181,632.3438952,688,Total amount of donations,Average total amount of donations,CA,NA,
Age group,15 to 24 years,2013,gs1datot,262.2732677,16.95301647,175.1269377,349.4195976,556,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Age group,25 to 34 years,2013,gs1datot,427.7107353,14.53179866,305.8910105,549.53046,1189,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,35 to 44 years,2013,gs1datot,512.1229428,8.128198005,430.536763,593.7091226,1592,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,45 to 54 years,2013,gs1datot,729.354589,7.715356394,619.0628961,839.6462819,1901,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,55 to 64 years,2013,gs1datot,784.6124256,6.188777222,689.4406608,879.7841903,2249,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,65 to 74 years,2013,gs1datot,839.1334108,6.427889725,733.4157557,944.851066,1748,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,75 years and over,2013,gs1datot,817.4113013,11.67301791,630.3982653,1004.424337,1198,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Sex,Male,2013,gs1datot,683.3151946,5.893941072,604.3792231,762.2511661,4406,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Sex,Female,2013,gs1datot,544.4811083,4.180181974,499.8717378,589.0904788,6027,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Less than High School,2013,gs1datot,377.5105427,13.34715644,278.7539889,476.2670965,1169,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Graduated from High school,2013,gs1datot,471.3584653,9.42098963,384.3230656,558.3938649,2630,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Post-secondary diploma,2013,gs1datot,528.6513176,5.187538011,474.9012888,582.4013465,3231,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,University Diploma,2013,gs1datot,941.5621792,5.637483174,837.5264884,1045.59787,2801,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Education,Not stated,2013,gs1datot,634.2382751,14.18726988,457.8785681,810.5979821,602,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,Married/common-law,2013,gs1datot,685.3611253,3.741118111,635.1073171,735.6149334,6286,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,Widowed,2013,gs1datot,920.3375766,16.08730235,630.1502314,1210.524922,1069,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,Separated/divorced,2013,gs1datot,444.5552375,7.904499772,375.6823623,513.4281126,1159,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Marital status,"Single, never married",2013,gs1datot,383.2552056,12.12213345,292.1978122,474.3125991,1915,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Employed,2013,gs1datot,631.2847966,4.818645409,571.6639155,690.9056777,5771,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Unemployed,2013,gs1datot,305.748823,27.69912358,139.7599743,471.7376717,302,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Labour force status,Not in labour force,2013,gs1datot,606.4335908,5.64655872,539.3192716,673.54791,3800,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Labour force status,Unable to determine,2013,gs1datot,602.7267772,15.06934922,424.7091227,780.7444317,560,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"Less than $20,000",2013,gs1datot,385.8440327,14.68345749,274.8017939,496.8862715,704,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$20,000 to $39,999",2013,gs1datot,550.759522,15.40142213,384.5059711,717.0130729,1651,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$40,000 to $59,999",2013,gs1datot,404.3409861,6.227238329,354.9905103,453.691462,1751,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$60,000 to $79,999",2013,gs1datot,531.9006033,7.247562397,456.3443286,607.4568781,1477,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$80,000 to $99,999",2013,gs1datot,522.7204085,7.427947113,446.6201117,598.8207053,1301,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$100,000 to $119,999",2013,gs1datot,802.2248673,12.96936581,598.3033983,1006.146336,978,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$120,000 to $139,999",2013,gs1datot,488.8004961,7.937875022,412.7531634,564.8478287,762,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Personal income category,"$140,000 or more",2013,gs1datot,831.9943096,6.24891819,730.0945203,933.8940989,1809,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least once a week,2013,gs1datot,1355.609488,5.015195617,1222.35846,1488.860516,2262,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least once a month,2013,gs1datot,702.1817527,12.90850119,524.528383,879.8351224,1128,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,At least 3 times a year,2013,gs1datot,483.8952101,9.87725691,390.2176083,577.572812,1131,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Once or twice a year,2013,gs1datot,324.4415656,14.87821203,229.8319402,419.051191,1342,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Not at all,2013,gs1datot,362.8124842,7.587585505,308.857209,416.7677594,3931,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Frequency of religious attendance,Not stated,2013,gs1datot,611.6879848,13.78345888,446.4399681,776.9360014,639,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Native-born,2013,gs1datot,609.8720733,4.282834068,558.6781885,661.0659581,8278,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Naturalized,2013,gs1datot,634.8704566,7.991783455,535.4268386,734.3140746,1187,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status,Non-Canadian,2013,gs1datot,519.0324821,19.71743991,318.4499291,719.6150351,323,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Immigration status,Unknown,2013,gs1datot,624.7684463,12.98166836,465.8048467,783.7320459,645,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Native-born,2013,gs1datot,606.7042635,4.296748461,555.6108324,657.7976946,8314,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Naturalized,2013,gs1datot,635.8914028,7.314038296,544.73477,727.0480356,1384,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Immigration status (dcit2),Non-Canadian,2013,gs1datot,570.4438838,21.58586673,329.1032157,811.7845519,172,Total amount of donations,Average total amount of donations,CA (without QC),NA,*
Immigration status (dcit2),Unknown,2013,gs1datot,590.3225027,14.98023535,416.9995551,763.6454502,563,Total amount of donations,Average total amount of donations,CA (without QC),NA,
Age group,15 to 24 years,2013,gs1datot,380.1782867,35.3592811,116.7036424,643.652931,57,Total amount of donations,Average total amount of donations,AB,NA,...
Age group,25 to 34 years,2013,gs1datot,731.3258071,39.04233329,171.7038387,1290.947775,129,Total amount of donations,Average total amount of donations,AB,NA,...
Age group,35 to 44 years,2013,gs1datot,766.5673052,17.37161293,505.5684952,1027.566115,180,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,45 to 54 years,2013,gs1datot,964.7624553,18.39925877,616.8509327,1312.673978,177,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,55 to 64 years,2013,gs1datot,1463.952429,13.57861655,1074.341994,1853.562864,158,Total amount of donations,Average total amount of donations,AB,NA,
Age group,65 to 74 years,2013,gs1datot,959.7229729,21.4823009,555.6360675,1363.809878,108,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,75 years and over,2013,gs1datot,829.1449572,24.20854282,435.7333188,1222.556596,79,Total amount of donations,Average total amount of donations,AB,NA,*
Age group,15 to 24 years,2013,gs1datot,130.325174,19.05449145,81.65378205,178.9965659,162,Total amount of donations,Average total amount of donations,AT,NA,*
Age group,25 to 34 years,2013,gs1datot,207.3147029,14.10985498,149.9822207,264.6471851,351,Total amount of donations,Average total amount of donations,AT,NA,
Age group,35 to 44 years,2013,gs1datot,287.9864799,11.46386765,223.2794667,352.6934932,458,Total amount of donations,Average total amount of donations,AT,NA,
Age group,45 to 54 years,2013,gs1datot,363.2165113,8.916598998,299.7400205,426.6930021,636,Total amount of donations,Average total amount of donations,AT,NA,
Age group,55 to 64 years,2013,gs1datot,477.345166,8.01660415,402.3434743,552.3468577,845,Total amount of donations,Average total amount of donations,AT,NA,
Age group,65 to 74 years,2013,gs1datot,626.6422623,10.17138214,501.7177268,751.5667979,640,Total amount of donations,Average total amount of donations,AT,NA,
Age group,75 years and over,2013,gs1datot,580.471551,7.062724402,500.1187,660.824402,414,Total amount of donations,Average total amount of donations,AT,NA,
Age group,15 to 24 years,2013,gs1datot,116.1445434,22.63650087,64.61501153,167.6740752,70,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,25 to 34 years,2013,gs1datot,403.8847988,20.50932566,241.5330466,566.2365509,159,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,35 to 44 years,2013,gs1datot,533.188936,18.08386225,344.2069494,722.1709227,231,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,45 to 54 years,2013,gs1datot,1315.619744,19.78966613,805.329881,1825.909606,259,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,55 to 64 years,2013,gs1datot,808.1525377,11.10795473,632.2081034,984.0969719,320,Total amount of donations,Average total amount of donations,BC,NA,
Age group,65 to 74 years,2013,gs1datot,803.0843007,18.2531077,515.7774092,1090.391192,272,Total amount of donations,Average total amount of donations,BC,NA,*
Age group,75 years and over,2013,gs1datot,703.8903961,14.54424322,503.238042,904.5427501,185,Total amount of donations,Average total amount of donations,BC,NA,
Age group,15 to 24 years,2013,gs1datot,296.1081794,25.62059545,147.4161414,444.8002174,166,Total amount of donations,Average total amount of donations,ON,NA,*
Age group,25 to 34 years,2013,gs1datot,359.6649605,16.32484554,244.5861666,474.7437544,307,Total amount of donations,Average total amount of donations,ON,NA,
Age group,35 to 44 years,2013,gs1datot,437.1935029,13.79710546,318.9683799,555.4186258,452,Total amount of donations,Average total amount of donations,ON,NA,
Age group,45 to 54 years,2013,gs1datot,520.2496507,9.539820466,422.9749082,617.5243932,501,Total amount of donations,Average total amount of donations,ON,NA,
Age group,55 to 64 years,2013,gs1datot,610.0023105,9.883219203,491.8402654,728.1643555,514,Total amount of donations,Average total amount of donations,ON,NA,
