,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,1,Touché.e personnellement par la cause,Ne signalent aucune motivation,2018,gs1datot,425.096224647479,5.6575137841144,377.95933090472505,472.233118390234,2649,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
1,2,Touché.e personnellement par la cause,Signalent une motivation,2018,gs1datot,681.1934861688491,3.56394220819668,633.6107698693,728.776202468398,7562,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
2,3,Crédit d'impôt,Ne signalent aucune motivation,2018,gs1datot,412.30024708528396,4.2051368707259105,378.318803685531,446.281690485037,6712,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
3,4,Crédit d'impôt,Signalent une motivation,2018,gs1datot,1092.88517220024,4.40560430677517,998.516441699133,1187.25390270135,3357,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
4,5,Raisons religieuses,Ne signalent aucune motivation,2018,gs1datot,360.37793440663694,4.003902520187911,332.097258932334,388.65860988094,6909,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
5,6,Raisons religieuses,Signalent une motivation,2018,gs1datot,1182.41137153155,4.35479579730004,1081.48968862529,1283.3330544378,3144,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
6,7,Croyances spirituelles,Ne signalent aucune motivation,2018,gs1datot,387.98316895901803,4.16575334247391,356.30540427094707,419.660933647089,6764,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
7,8,Croyances spirituelles,Signalent une motivation,2018,gs1datot,1113.31627241453,4.76418586147965,1009.35888806087,1217.27365676819,3218,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
8,9,Croyance personnelle en la cause,Ne signalent aucune motivation,2018,gs1datot,310.213990765317,8.64416352970614,257.65676341303697,362.77121811759696,1345,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
9,10,Croyance personnelle en la cause,Signalent une motivation,2018,gs1datot,663.094960870554,3.15646039194973,622.072268276257,704.1176534648511,8836,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
10,11,Compassion envers les personnes dans le besoin,Ne signalent aucune motivation,2018,gs1datot,318.896174351711,11.043785557992198,249.86975184156398,387.922596861858,1433,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
11,12,Compassion envers les personnes dans le besoin,Signalent une motivation,2018,gs1datot,662.847785142074,3.1734509737057595,621.619649728772,704.0759205553751,8712,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
12,13,Contribution à la communauté,Ne signalent aucune motivation,2018,gs1datot,345.101180851567,7.12710874661574,296.894423245841,393.307938457293,2519,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
13,14,Contribution à la communauté,Signalent une motivation,2018,gs1datot,694.079512736046,3.22061278717436,650.267235272663,737.891790199428,7550,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
14,15,Sollicitation par une connaissance,Ne signalent aucune motivation,2018,gs1datot,548.029209768865,4.363609932803779,501.158911254431,594.8995082833001,4881,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
15,16,Sollicitation par une connaissance,Signalent une motivation,2018,gs1datot,665.864113656075,4.416800613975719,608.221787956797,723.5064393553529,5175,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA,
16,17,Touché.e personnellement par la cause,Ne signalent aucune motivation,2018,gs1datot,476.79638693325995,5.579015008283111,424.660282671537,528.932491194984,2282,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA (without QC),
17,18,Touché.e personnellement par la cause,Signalent une motivation,2018,gs1datot,793.8017014855529,3.8058009611667596,734.5901844726719,853.0132184984351,6658,Total donation amount,Average Amount Donated by Donors Reporting Motivations,CA (without QC),
