,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
27,28,Ne savent pas où donner,Report barrier,2018,gs1datot,198.13528596051202,7.12909215617363,170.450310312939,225.820261608085,768,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
28,29,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,234.806174671877,2.0771183590560502,225.247034088435,244.365315255319,7250,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
29,30,Difficulté à trouver une cause,Report barrier,2018,gs1datot,185.84655977897498,6.08943746026694,163.66562770789199,208.02749185005902,764,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
30,31,Don de temps,Do not report barrier,2018,gs1datot,230.044647761315,2.24118447115958,219.93961259929299,240.149682923336,5765,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
31,32,Don de temps,Report barrier,2018,gs1datot,226.316227456133,3.94052715963606,208.83716592112998,243.795288991136,2210,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
32,33,Don direct,Do not report barrier,2018,gs1datot,218.354996481349,2.44811316816984,207.877857257234,228.83213570546502,4730,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
33,34,Don direct,Report barrier,2018,gs1datot,249.464378011146,3.1092113892179705,234.262162648351,264.66659337394,3283,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
34,35,Crédit d'impôt insuffisant,Do not report barrier,2018,gs1datot,228.474686244853,2.1171023858471103,218.994256107432,237.955116382275,6555,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
35,36,Crédit d'impôt insuffisant,Report barrier,2018,gs1datot,236.457739940686,5.1471727990209,212.603236876875,260.312243004497,1447,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
36,37,Utilisation non efficiente de l'argent,Do not report barrier,2018,gs1datot,225.953704453024,2.32188827038587,215.670963986279,236.23644491976899,6104,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
37,38,Utilisation non efficiente de l'argent,Report barrier,2018,gs1datot,239.77343876776501,3.6959252624135797,222.404537623152,257.142339912378,1904,Total donation amount,Average Amount Donated by Donors Reporting Barriers,CA (without QC),
