,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
28,29,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,77.64464542598151,2.66392933760684,73.5906588826807,81.69863196928229,4700,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
29,30,Aucune sollicitation,Report barrier,2018,vd1dhrs,59.2132903217469,5.19703582237929,53.1818227705391,65.24475787295479,1488,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
30,31,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,76.4366517770472,2.33441514064155,72.93939244790658,79.93391110618781,5425,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
31,32,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,52.406122810644504,7.651940908575161,44.5464995578261,60.2657460634628,727,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
32,33,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,71.4377359509647,2.5805314223240496,67.8245948262222,75.05087707570729,4871,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
33,34,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,79.4883083507687,4.87570942322961,71.8922348093439,87.0843818921935,1304,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
34,35,Manque de temps,Do not report barrier,2018,vd1dhrs,125.77990519705799,5.8400606192675,111.382749240722,140.177061153393,2059,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
35,36,Manque de temps,Report barrier,2018,vd1dhrs,134.379587194044,3.52962337787046,125.083295102346,143.675879285743,4916,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
36,37,Coût financier du bénévolat,Do not report barrier,2018,vd1dhrs,71.4990847826357,2.46001010107867,68.0517341023274,74.946435462944,5543,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
37,38,Coût financier du bénévolat,Report barrier,2018,vd1dhrs,83.6530704315361,6.188552037689151,73.506505842698,93.7996350203742,617,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
38,39,Incapable de s'engager à long terme,Do not report barrier,2018,vd1dhrs,83.3170018883745,2.9061687771236,78.57127701175101,88.062726764998,3505,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
39,40,Incapable de s'engager à long terme,Report barrier,2018,vd1dhrs,58.4683497400994,3.7578951791870696,54.1619574519049,62.774742028294,2684,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
40,41,Préférence pour les dons d'argent,Do not report barrier,2018,vd1dhrs,140.680294658387,3.2986447600407702,131.584997180092,149.775592136682,5302,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
41,42,Préférence pour les dons d'argent,Report barrier,2018,vd1dhrs,95.0481984160392,8.07620667182069,80.00294855494991,110.09344827712799,1507,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
42,43,Aucun intérêt pour en faire plus,Do not report barrier,2018,vd1dhrs,73.9069342593952,2.6490373175479998,70.0696731244421,77.7441953943484,4721,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
43,44,Aucun intérêt pour en faire plus,Report barrier,2018,vd1dhrs,68.97413737823811,4.13366363403061,63.3859687500014,74.5623060064748,1448,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
44,45,Utilisation des compétences impossible,Do not report barrier,2018,vd1dhrs,75.51477243042379,2.42591218338017,71.92427116124229,79.10527369960529,5008,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
45,46,Utilisation des compétences impossible,Report barrier,2018,vd1dhrs,61.4592027593844,5.49045676330454,54.8455180186584,68.0728875001105,1128,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
46,47,Aucune sollicitation pour une contribution importante,Do not report barrier,2018,vd1dhrs,74.90519653868509,2.5006611385673,71.2339387245523,78.5764543528179,5083,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
47,48,Aucune sollicitation pour une contribution importante,Report barrier,2018,vd1dhrs,63.514667210649606,5.32670405339562,56.8836418880266,70.14569253327271,1058,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,CA (without QC),
48,49,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,61.1246377197166,8.680792281978231,50.7248672676725,71.5244081717608,377,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
49,50,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,89.5125633269014,9.49407478482252,72.8560255803428,106.16910107346001,234,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
50,51,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,60.8807410005698,6.347957058741129,53.306100929227505,68.4553810719121,1028,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
51,52,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,95.57543219114442,5.17261894856697,85.8858545279194,105.265009854369,668,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
52,53,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,63.0872399455706,7.3895358025833,53.9501736464196,72.22430624472159,558,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
53,54,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,95.3378408625197,6.2575207106541,83.6451168543726,107.03056487066699,437,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
54,55,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,54.429681832266,5.13867453751332,48.9477327319364,59.91163093259561,1146,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
55,56,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,98.9299659206116,4.27270054033448,90.6452350279357,107.214696813288,842,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
56,57,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,68.7129960435515,7.6683315604345195,58.38567070507871,79.0403213820243,570,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
57,58,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,89.63217369807329,7.012927945574959,77.31215416078629,101.95219323536,357,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
58,59,Assez de temps déjà donné,Do not report barrier,2018,vd1dhrs,43.3329113246424,9.00916978828023,35.681338238010795,50.984484411274,376,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
59,60,Assez de temps déjà donné,Report barrier,2018,vd1dhrs,84.08982554055581,6.3959134277448095,73.5485268544456,94.63112422666599,465,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
60,61,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,72.4506539377389,6.78546132144477,62.8152532375863,82.08605463789151,567,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
61,62,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,58.6411866410727,27.5632590753755,26.961461264600896,90.3209120175446,41,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,*
62,63,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,74.02137118161549,4.41687649195895,67.6134011479492,80.42934121528171,1600,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
63,64,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,69.4856607704785,13.713952583011999,50.808712052790696,88.16260948816641,84,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
64,65,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,75.35011083620621,5.06307293466879,67.8727873430427,82.82743432936971,922,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
65,66,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,90.5429218229212,17.6251395164318,59.2651966336769,121.820647012166,54,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,*
66,67,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,70.6668959118331,3.70608649500548,65.5337967152457,75.79999510842049,1859,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
67,68,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,85.90423885391729,12.0618492239782,65.5957980887108,106.21267961912399,107,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
68,69,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,76.53939045832671,5.6936191891025105,67.9981390208897,85.0806418957637,870,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
69,70,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,55.438722209888,16.5022129687462,37.507764329295796,73.3696800904802,56,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,*
70,71,Expérience bénévole passée insatisfaisante,Do not report barrier,2018,vd1dhrs,62.5162715873172,5.42871390131081,55.864487946214396,69.16805522841989,787,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
71,72,Expérience bénévole passée insatisfaisante,Report barrier,2018,vd1dhrs,72.3029568193472,26.2262358118923,35.137445606237605,109.46846803245701,40,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*
72,73,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,77.3189453374621,7.52276928360013,65.9187641166263,88.719126558298,468,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
73,74,Aucune sollicitation,Report barrier,2018,vd1dhrs,52.0098802708628,16.3401221395266,35.3531695441296,68.6665909975961,142,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
74,75,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,79.7351858645863,4.8639309939567,72.1339272820842,87.33644444708841,1281,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
75,76,Aucune sollicitation,Report barrier,2018,vd1dhrs,57.0915889311057,7.52563408269083,48.670595684776,65.51258217743529,413,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
76,77,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,81.23871238664829,5.51684260804122,72.45452247879071,90.0229022945059,749,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
77,78,Aucune sollicitation,Report barrier,2018,vd1dhrs,64.11086722359761,10.085206259606698,51.4383022283603,76.783432218835,230,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
78,79,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,75.6127800354139,4.0628176923015396,69.5917522416027,81.63380782922509,1523,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
79,80,Aucune sollicitation,Report barrier,2018,vd1dhrs,59.6561610699746,8.47442274532677,49.7475331925855,69.5647889473637,455,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
80,81,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,80.3360134547709,5.835927841018809,71.1470128277962,89.5250140817457,679,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
81,82,Aucune sollicitation,Report barrier,2018,vd1dhrs,60.125228631268705,12.519536535550499,45.3717958015137,74.8786614610237,248,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
82,83,Aucune sollicitation,Do not report barrier,2018,vd1dhrs,71.0776309739967,5.86629009091471,62.905325900318005,79.2499360476754,651,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
83,84,Aucune sollicitation,Report barrier,2018,vd1dhrs,36.8200189232136,11.3460819896701,28.6320154926087,45.008022353818504,179,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
84,85,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,73.2163971238665,6.60415513461793,63.7393353482259,82.69345889950709,550,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
85,86,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,54.6612727829595,26.2590374871447,26.5288824741178,82.7936630918012,56,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,*
86,87,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,79.9442370054022,4.54850315217618,72.8172863324588,87.07118767834551,1491,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
87,88,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,39.9829037925802,10.4605799074436,31.785464968153402,48.1803426170069,194,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
88,89,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,80.0263230469404,4.950975843336269,72.2607812553812,87.7918648384995,851,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
89,90,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,58.487845079609606,18.7570216385731,36.9859077852792,79.98978237394,125,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,*
90,91,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,74.77245049444029,3.70940195294379,69.33627333905349,80.20862764982701,1720,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
91,92,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,52.982784100499295,10.8741106961724,41.6906346779231,64.2749335230755,237,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
92,93,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,80.5228633745536,5.74272130296579,71.4595908049878,89.5861359441193,813,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
93,94,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,48.026497883146,16.269971290318903,32.7115403662818,63.3414554000101,115,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
94,95,Ne savaient pas comment s'engager plus,Do not report barrier,2018,vd1dhrs,66.4778121121367,5.4339130288152395,59.397743084937,73.5578811393364,753,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
95,96,Ne savaient pas comment s'engager plus,Report barrier,2018,vd1dhrs,38.3406278443681,20.7961777789146,22.7130801584898,53.9681755302463,74,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,*
96,97,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,67.60990850285759,7.345770908312111,57.8758081522415,77.3440088534738,508,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
97,98,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,95.31885052334441,15.3848787112676,66.576587176581,124.06111387010799,99,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
98,99,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,75.6667295557193,4.869278235867981,68.4453920075922,82.88806710384641,1310,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
99,100,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,65.8636449571346,8.17326945416763,55.3127410136546,76.41454890061459,383,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
100,101,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,75.6149262698874,5.23942096315834,67.8499717307791,83.3798808089956,773,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
101,102,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,84.0674501031077,12.7787528303408,63.012004556455494,105.12289564976,205,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
102,103,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,69.623547313507,4.14241808036915,63.970818297903996,75.2762763291099,1541,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
103,104,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,78.60166047339949,6.75921824344839,68.188650580648,89.01467036615108,426,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
104,105,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,75.428435250367,5.865071033546231,66.7576892187119,84.099181282022,739,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
105,106,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,72.2946279702729,13.1671002604023,53.637522755706904,90.9517331848389,191,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
106,107,Problèmes de santé/handicap physique,Do not report barrier,2018,vd1dhrs,59.3403775875945,5.942078130460451,52.429443445600995,66.2513117295879,678,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
107,108,Problèmes de santé/handicap physique,Report barrier,2018,vd1dhrs,86.04971803986479,11.74194078107,66.2464243450638,105.853011734666,155,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
108,109,Manque de temps,Do not report barrier,2018,vd1dhrs,154.946819815775,13.49992219393,113.948880946852,195.944758684697,202,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
109,110,Manque de temps,Report barrier,2018,vd1dhrs,141.494115193922,10.1774897561285,113.26955764072399,169.71867274712,505,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AB,
110,111,Manque de temps,Do not report barrier,2018,vd1dhrs,112.75227541586901,8.86206111700906,93.16797119464898,132.33657963708902,617,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
111,112,Manque de temps,Report barrier,2018,vd1dhrs,153.542111506986,7.92718798237761,129.686269121653,177.39795389231998,1288,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,AT,
112,113,Manque de temps,Do not report barrier,2018,vd1dhrs,112.565015268863,12.667382906786,84.6178074685506,140.512223069175,310,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
113,114,Manque de temps,Report barrier,2018,vd1dhrs,154.41890850949102,7.6921967737981705,131.138051963491,177.69976505549,812,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,BC,
114,115,Manque de temps,Do not report barrier,2018,vd1dhrs,127.643825901651,9.46005684563393,103.976910953891,151.310740849411,620,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
115,116,Manque de temps,Report barrier,2018,vd1dhrs,121.881072475867,6.01433836523909,107.513869881751,136.248275069984,1599,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,ON,
116,117,Manque de temps,Do not report barrier,2018,vd1dhrs,109.612532258685,13.348458586022401,80.93515561355692,138.289908903813,310,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
117,118,Manque de temps,Report barrier,2018,vd1dhrs,133.532627400806,8.573319331626589,111.094609736618,155.970645064995,712,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,PR,
118,119,Manque de temps,Do not report barrier,2018,vd1dhrs,127.433023329582,13.796502409363699,92.97430826557091,161.89173839359302,281,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
119,120,Manque de temps,Report barrier,2018,vd1dhrs,129.999184977489,10.0045383868505,104.508249395235,155.49012055974399,655,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Barriers,QC,
