,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
0,Groupe d'âge,15 à 24 ans,2013,total_causes,1.7484730678344336,2.7777381816295468,1.6532815291919731,1.843664606476894,692,Total number of causes supported,Average number of causes supported,CA,,
1,Groupe d'âge,25 à 34 ans,2013,total_causes,2.237812079247417,1.803644817576486,2.1587036569848363,2.3169205015099976,1472,Total number of causes supported,Average number of causes supported,CA,,
2,Groupe d'âge,35 à 44 ans,2013,total_causes,2.489115788630277,1.681754151554302,2.40707011236646,2.571161464894095,1999,Total number of causes supported,Average number of causes supported,CA,,
3,Groupe d'âge,45 à 54 ans,2013,total_causes,2.696318056271226,1.5858467645222545,2.612511029866352,2.7801250826761,2297,Total number of causes supported,Average number of causes supported,CA,,
4,Groupe d'âge,55 à 64 ans,2013,total_causes,2.824879899997061,1.3320886806650178,2.751126640690537,2.898633159303585,2713,Total number of causes supported,Average number of causes supported,CA,,
5,Groupe d'âge,65 à 74 ans,2013,total_causes,2.873364859607444,1.634090030959933,2.78133794795567,2.9653917712592177,2074,Total number of causes supported,Average number of causes supported,CA,,
6,Groupe d'âge,75 ans et plus,2013,total_causes,2.763331106341446,2.132013104350712,2.6478606488217427,2.878801563861149,1366,Total number of causes supported,Average number of causes supported,CA,,
7,Genre,Male,2013,total_causes,2.403454353632073,1.0697806886903625,2.353060366198612,2.453848341065534,5374,Total number of causes supported,Average number of causes supported,CA,,
8,Genre,Female,2013,total_causes,2.6136547502008005,0.884838701779889,2.5683273907460293,2.658982109655572,7239,Total number of causes supported,Average number of causes supported,CA,,
9,Éducation,Sans diplôme d'études secondaires,2013,total_causes,2.0494067509475333,2.097254560448328,1.9651649969070664,2.1336485049880003,1384,Total number of causes supported,Average number of causes supported,CA,,
10,Éducation,Diplôme d'études secondaires,2013,total_causes,2.301939971559096,1.5035467009135726,2.2341041627821068,2.3697757803360857,3099,Total number of causes supported,Average number of causes supported,CA,,
11,Éducation,Diplôme post-secondaire,2013,total_causes,2.552799631964341,1.1483131973781904,2.495344982976521,2.6102542809521614,3957,Total number of causes supported,Average number of causes supported,CA,,
12,Éducation,Diplôme universtaire,2013,total_causes,2.917740008868948,1.189019716403363,2.849743950536907,2.985736067200989,3432,Total number of causes supported,Average number of causes supported,CA,,
13,Éducation,Non indiqué,2013,total_causes,2.269400356993748,2.72591197296068,2.148153347127365,2.390647366860131,741,Total number of causes supported,Average number of causes supported,CA,,
14,État civil,Marié.e/union de fait,2013,total_causes,2.694425756101553,0.774125567004506,2.6535443595432167,2.7353071526598898,7545,Total number of causes supported,Average number of causes supported,CA,,
15,État civil,Veuf.ve,2013,total_causes,2.6583229103841504,2.095656054385282,2.549134678947904,2.7675111418203966,1234,Total number of causes supported,Average number of causes supported,CA,,
16,État civil,Séparé.e/divorcé.e,2013,total_causes,2.3977602761004047,2.2943973590231783,2.289934526497177,2.505586025703632,1424,Total number of causes supported,Average number of causes supported,CA,,
17,État civil,"Célibataire, jamais marié.e",2013,total_causes,1.995764844772449,1.8385299211510504,1.9238484079773024,2.067681281567596,2405,Total number of causes supported,Average number of causes supported,CA,,
18,Situation d'activité,Employé.e,2013,total_causes,2.533952716276098,0.869067391571466,2.490790866120807,2.5771145664313893,7039,Total number of causes supported,Average number of causes supported,CA,,
19,Situation d'activité,Au chômage,2013,total_causes,2.1030205257583563,3.7710165648226814,1.9475850872930789,2.258455964223634,363,Total number of causes supported,Average number of causes supported,CA,,
20,Situation d'activité,Pas dans la population active,2013,total_causes,2.553285212684107,1.228316764135008,2.491815978821444,2.61475444654677,4524,Total number of causes supported,Average number of causes supported,CA,,
21,Situation d'activité,Unable to determine,2013,total_causes,2.298038810937736,2.7816314516752643,2.172752091292887,2.423325530582585,687,Total number of causes supported,Average number of causes supported,CA,,
22,Catégorie de revenu personnel,Moins de 20 000 $,2013,total_causes,2.12391113595353,2.993623679207362,1.9992928887703387,2.248529383136721,852,Total number of causes supported,Average number of causes supported,CA,,
23,Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,total_causes,2.342911231974304,1.7188393120336054,2.263981758918143,2.4218407050304647,2015,Total number of causes supported,Average number of causes supported,CA,,
24,Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,total_causes,2.3782678148522955,1.6937193469053136,2.2993181486789,2.4572174810256917,2153,Total number of causes supported,Average number of causes supported,CA,,
25,Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,total_causes,2.464237134534025,1.9512739156924936,2.369994194105131,2.55848007496292,1819,Total number of causes supported,Average number of causes supported,CA,,
26,Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,total_causes,2.5895143208061326,1.8112452606896952,2.497587197415092,2.681441444197173,1590,Total number of causes supported,Average number of causes supported,CA,,
27,Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,total_causes,2.5638493521850307,2.073118200522563,2.4596740764592537,2.668024627910808,1178,Total number of causes supported,Average number of causes supported,CA,,
28,Catégorie de revenu personnel,$120 000 à 139 999 $,2013,total_causes,2.499136297159228,2.46198936089857,2.378542712424553,2.6197298818939028,919,Total number of causes supported,Average number of causes supported,CA,,
29,Catégorie de revenu personnel,140 000 $ et plus,2013,total_causes,2.7193057778171643,1.5522958667850182,2.6365724225490856,2.802039133085243,2087,Total number of causes supported,Average number of causes supported,CA,,
30,Fréquence de la fréquentation religieuse,Au moins 1 fois par semaine,2013,total_causes,2.8864499722518016,1.601971120414555,2.7958210514871413,2.977078893016462,2517,Total number of causes supported,Average number of causes supported,CA,,
31,Fréquence de la fréquentation religieuse,Au moins 1 fois par mois,2013,total_causes,2.899073617137973,2.2235446311397644,2.772730035070948,3.0254171992049987,1300,Total number of causes supported,Average number of causes supported,CA,,
32,Fréquence de la fréquentation religieuse,Au moins 3 fois par mois,2013,total_causes,2.820743603662536,2.045978151171437,2.7076305584297367,2.933856648895336,1382,Total number of causes supported,Average number of causes supported,CA,,
33,Fréquence de la fréquentation religieuse,1 ou 2 fois par an,2013,total_causes,2.4351933244832016,1.810660579519496,2.348772464815404,2.521614184151,1732,Total number of causes supported,Average number of causes supported,CA,,
34,Fréquence de la fréquentation religieuse,Pas du tout,2013,total_causes,2.241638990736944,1.1429612415273056,2.1914226264067675,2.29185535506712,4871,Total number of causes supported,Average number of causes supported,CA,,
35,Fréquence de la fréquentation religieuse,Non indiqué,2013,total_causes,2.3272282891187808,2.631796506935005,2.207184585860526,2.4472719923770354,811,Total number of causes supported,Average number of causes supported,CA,,
36,Statut d'immigration,Né.e au Canada,2013,total_causes,2.5395690259209083,0.7729248121095268,2.501096972987797,2.57804107885402,10095,Total number of causes supported,Average number of causes supported,CA,,
37,Statut d'immigration,Naturalisé.e,2013,total_causes,2.555432236314075,2.0116533548585456,2.4546774686472155,2.6561870039809348,1359,Total number of causes supported,Average number of causes supported,CA,,
38,Statut d'immigration,Non canadien.ne,2013,total_causes,2.163163234650772,3.802994797067536,2.001926826340994,2.3243996429605494,382,Total number of causes supported,Average number of causes supported,CA,,
39,Statut d'immigration,Unknown,2013,total_causes,2.339257906657605,2.588242167952127,2.2205905945051394,2.4579252188100704,777,Total number of causes supported,Average number of causes supported,CA,,
40,Immigration status (dcit2),Né.e au Canada,2013,total_causes,2.541336953463907,0.7689381976342853,2.503036688544268,2.5796372183835468,10134,Total number of causes supported,Average number of causes supported,CA,,
41,Immigration status (dcit2),Naturalisé.e,2013,total_causes,2.507177358637632,1.8830583302693475,2.4146442992569086,2.5997104180183546,1594,Total number of causes supported,Average number of causes supported,CA,,
42,Immigration status (dcit2),Non canadien.ne,2013,total_causes,2.150933845497621,4.978825543331472,1.9410388647472163,2.360828826248025,197,Total number of causes supported,Average number of causes supported,CA,,
43,Immigration status (dcit2),Unknown,2013,total_causes,2.281153448618351,2.8262601169126693,2.1547919635401573,2.407514933696545,688,Total number of causes supported,Average number of causes supported,CA,,
44,Groupe d'âge,15 à 24 ans,2013,total_causes,1.781170145164357,3.286096957049226,1.6664515364218226,1.8958887539068912,556,Total number of causes supported,Average number of causes supported,CA (without QC),,
45,Groupe d'âge,25 à 34 ans,2013,total_causes,2.252575838855172,2.116763095969084,2.159121435764734,2.3460302419456096,1189,Total number of causes supported,Average number of causes supported,CA (without QC),,
46,Groupe d'âge,35 à 44 ans,2013,total_causes,2.540297800080209,1.9567231927916893,2.442874661694647,2.6377209384657703,1592,Total number of causes supported,Average number of causes supported,CA (without QC),,
47,Groupe d'âge,45 à 54 ans,2013,total_causes,2.751395878893529,1.7462807683001502,2.657225299029706,2.8455664587573524,1901,Total number of causes supported,Average number of causes supported,CA (without QC),,
48,Groupe d'âge,55 à 64 ans,2013,total_causes,2.910163725678114,1.5959072416766371,2.819136111622841,3.0011913397333863,2249,Total number of causes supported,Average number of causes supported,CA (without QC),,
49,Groupe d'âge,65 à 74 ans,2013,total_causes,2.931775026944102,1.8440279056647264,2.825813984767705,3.0377360691204998,1748,Total number of causes supported,Average number of causes supported,CA (without QC),,
50,Groupe d'âge,75 ans et plus,2013,total_causes,2.7942762414652638,2.3662445788841966,2.664684579024096,2.9238679039064306,1198,Total number of causes supported,Average number of causes supported,CA (without QC),,
51,Genre,Male,2013,total_causes,2.441210815251944,1.2169977203323432,2.382981304511089,2.499440325992799,4406,Total number of causes supported,Average number of causes supported,CA (without QC),,
52,Genre,Female,2013,total_causes,2.665020109000041,1.0173552280980709,2.61188015151597,2.718160066484112,6027,Total number of causes supported,Average number of causes supported,CA (without QC),,
